,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
player,Sergio Asenjo,Édgar Badía,Rubén Blanco,Yassine Bounou,Claudio Bravo,Dani Cárdenas,Alberto Cifuentes,Thibaut Courtois,Marko Dmitrović,Jaume Doménech,Aitor Fernández,Álvaro Fernández,Andrés Fernández,David Gil,Sergio Herrera,Ángel Jiménez,Jeremías Ledesma,Jordi Masip,Neto,Jan Oblak,Fernando Pacheco,Álex Remiro,Roberto,Joel Robles,Rubén,Rui Silva,Unai Simón,David Soria,Marc-André ter Stegen,Tomáš Vaclík,Koke Vegas,Iván Villar,Rubén Yáñez,Yoel
nationality,es ESP,es ESP,es ESP,ma MAR,cl CHI,es ESP,es ESP,be BEL,rs SRB,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,ar ARG,es ESP,br BRA,si SVN,es ESP,es ESP,es ESP,es ESP,es ESP,pt POR,es ESP,es ESP,de GER,cz CZE,es ESP,es ESP,es ESP,es ESP
position,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,"GK,MF",GK,GK,GK,GK,GK,GK,GK,GK,GK
squad,Villarreal,Elche,Celta Vigo,Sevilla,Betis,Levante,Cádiz,Real Madrid,Eibar,Valencia,Levante,Huesca,Huesca,Cádiz,Osasuna,Granada,Cádiz,Valladolid,Barcelona,Atlético Madrid,Alavés,Real Sociedad,Valladolid,Betis,Osasuna,Granada,Athletic Club,Getafe,Barcelona,Sevilla,Levante,Celta Vigo,Getafe,Eibar
age,31-230,29-001,25-203,29-314,37-306,23-322,41-260,28-278,29-020,30-100,29-286,22-306,34-058,27-033,27-253,18-236,28-000,32-041,31-209,28-037,28-271,25-326,35-003,30-241,36-236,27-006,23-247,27-315,28-289,31-321,25-139,23-219,27-124,32-169
birth_year,1989,1992,1995,1991,1983,1997,1979,1992,1992,1990,1991,1998,1986,1994,1993,2002,1993,1989,1989,1993,1992,1995,1986,1990,1984,1994,1997,1993,1992,1989,1995,1997,1993,1988
minutes_90s,22.0,21.0,16.0,18.0,9.0,1.0,2.0,22.0,21.7,22.0,19.0,11.0,11.0,1.0,19.9,1.0,19.0,16.0,6.0,20.0,22.0,22.0,6.0,13.0,2.1,21.0,21.0,13.0,15.0,3.0,1.0,7.0,9.0,0.3
goals_against_gk,23,31,24,13,16,1,3,19,25,30,28,15,17,2,26,2,30,23,6,12,29,20,10,21,5,34,26,16,14,3,2,10,12,0
pens_allowed,4,3,1,1,2,0,0,6,2,3,2,1,3,0,4,1,4,3,2,1,1,2,2,3,0,1,3,3,0,0,0,2,1,0
free_kick_goals_against_gk,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
corner_kick_goals_against_gk,1,2,1,3,2,0,0,2,1,4,4,3,3,0,2,1,3,3,1,2,4,1,0,5,0,2,5,2,3,0,0,0,0,0
own_goals_against_gk,1,0,0,2,1,0,0,1,0,2,0,0,0,0,2,0,1,0,0,2,0,0,0,2,0,0,1,1,1,0,0,1,0,0
psxg_gk,17.5,29.7,19.7,12.7,16.5,1.0,1.8,19.3,27.8,30.7,25.8,16.2,13.3,1.2,26.5,2.7,24.5,23.8,6.6,15.3,28.0,17.1,10.1,18.2,4.9,32.9,22.7,13.3,15.7,2.4,2.6,8.6,11.1,0.0
psnpxg_per_shot_on_target_against,0.25,0.30,0.36,0.20,0.41,0.26,0.29,0.23,0.33,0.29,0.32,0.34,0.29,0.40,0.34,0.22,0.30,0.31,0.26,0.24,0.34,0.27,0.33,0.36,0.55,0.37,0.33,0.28,0.28,0.27,0.64,0.32,0.36,
psxg_net_gk,-3.5,+1.7,-3.3,+1.7,+1.5,0.0,-1.2,+1.3,+2.8,+2.7,-2.2,+1.2,-3.7,-0.8,+2.5,+0.7,-4.5,+0.8,+0.6,+5.3,-1.0,-2.9,+0.1,-0.8,-0.1,-1.1,-2.3,-1.7,+2.7,-0.6,+0.6,-0.4,-0.9,0.0
psxg_net_per90_gk,-0.16,+0.08,-0.22,+0.09,+0.17,+0.03,-0.62,+0.06,+0.13,+0.12,-0.12,+0.11,-0.33,-0.80,+0.12,+0.69,-0.24,+0.05,+0.10,+0.26,-0.05,-0.13,+0.01,-0.06,-0.04,-0.05,-0.11,-0.13,+0.18,-0.21,+0.56,-0.05,-0.10,0.00
passes_completed_launched_gk,129,147,86,110,66,3,25,81,197,227,90,65,56,5,276,10,185,118,17,142,210,131,39,78,33,167,161,136,84,14,2,30,78,4
passes_launched_gk,274,301,246,223,157,7,63,219,531,444,233,168,176,29,578,24,483,346,35,334,402,292,130,223,54,479,373,365,130,32,11,96,181,9
passes_pct_launched_gk,47.1,48.8,35.0,49.3,42.0,42.9,39.7,37.0,37.1,51.1,38.6,38.7,31.8,17.2,47.8,41.7,38.3,34.1,48.6,42.5,52.2,44.9,30.0,35.0,61.1,34.9,43.2,37.3,64.6,43.8,18.2,31.3,43.1,44.4
passes_gk,606,604,439,451,257,22,53,620,541,504,472,333,313,28,557,13,413,337,150,371,461,558,136,318,46,528,504,338,436,86,18,150,187,11
passes_throws_gk,128,101,65,73,39,4,3,129,55,74,100,53,48,3,46,0,36,54,30,58,62,74,24,47,2,41,104,4,85,15,4,28,25,4
pct_passes_launched_gk,32.5,33.1,39.9,34.6,50.2,27.3,92.5,25.0,73.0,57.1,40.9,38.7,42.2,75.0,78.5,76.9,80.9,66.8,18.7,58.2,62.0,40.9,62.5,53.5,84.8,65.7,49.0,86.1,23.2,32.6,44.4,46.7,71.1,63.6
passes_length_avg_gk,34.6,32.8,35.8,35.0,41.1,30.5,59.7,32.2,57.4,42.5,37.5,36.7,37.0,51.4,54.6,50.1,56.5,49.0,27.3,44.1,46.2,37.2,51.1,43.4,55.7,49.2,42.1,58.2,29.2,31.7,37.7,39.2,48.7,46.4
goal_kicks,157,188,115,113,48,7,16,147,144,207,140,88,82,9,146,17,158,142,41,172,182,111,52,93,15,170,146,96,76,8,11,56,58,2
pct_goal_kicks_launched,49.0,53.7,61.7,59.3,58.3,14.3,87.5,43.5,94.4,75.4,28.6,44.3,53.7,88.9,96.6,82.4,94.3,85.2,17.1,68.6,63.7,57.7,86.5,57.0,100.0,77.6,86.3,77.1,38.2,50.0,27.3,46.4,82.8,100.0
goal_kick_length_avg,42.4,36.9,45.4,45.1,47.0,18.4,61.1,41.0,75.4,54.8,30.5,41.1,43.8,64.3,64.3,55.0,68.2,62.5,24.4,50.3,47.9,47.9,68.8,45.7,65.7,56.6,64.2,53.0,35.3,38.3,30.5,40.8,60.0,72.5
crosses_gk,254,208,121,144,61,16,17,179,182,263,176,108,109,5,232,10,191,190,52,199,198,157,58,107,19,212,194,86,84,19,7,67,67,0
crosses_stopped_gk,30,13,7,13,3,2,1,16,11,17,11,8,9,0,23,0,23,11,2,13,18,13,5,6,1,10,13,9,12,1,0,5,5,0
crosses_stopped_pct_gk,11.8,6.3,5.8,9.0,4.9,12.5,5.9,8.9,6.0,6.5,6.3,7.4,8.3,0.0,9.9,0.0,12.0,5.8,3.8,6.5,9.1,8.3,8.6,5.6,5.3,4.7,6.7,10.5,14.3,5.3,0.0,7.5,7.5,
def_actions_outside_pen_area_gk,8,14,7,11,3,1,2,12,24,11,17,5,3,0,35,1,10,10,4,6,17,14,5,9,3,13,14,16,10,2,1,8,5,0
def_actions_outside_pen_area_per90_gk,0.36,0.70,0.47,0.61,0.33,1.00,1.00,0.55,1.11,0.50,0.89,0.45,0.27,0.00,1.76,1.00,0.53,0.63,0.67,0.30,0.77,0.64,0.83,0.69,1.44,0.62,0.67,1.23,0.67,0.67,1.00,1.14,0.56,0.00
avg_distance_def_actions_gk,12.8,13.1,14.7,15.6,12.1,15.3,14.3,14.8,16.8,13.4,15.2,15.6,11.9,9.0,16.2,14.3,14.0,14.2,15.7,14.5,15.0,15.4,14.8,17.7,14.6,14.9,14.0,15.5,16.5,14.9,18.8,17.2,14.6,16.3
matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches,Matches
